1	0	0.65074	0	-0.0446747	0.152716	0.0245879	-0.0625787	0.0513821	0.0320798	0.042289	-0.0276462	-0.0476596	0	0	0	0	0	
0	1	0	0.642806	-0.0726318	-0.197161	0.108926	-0.148874	0.0635814	-0.0192212	0.140665	0.0419587	-0.0411762	0	0	0	0	0	
0.65074	0	1	0	-0.0668514	0.228803	0.0367905	-0.0936533	0.0768911	0.0480017	0.0632808	-0.0413671	-0.0713192	0	0	0	0	0	
0	0.642806	0	1	-0.109998	-0.299191	0.165029	-0.22569	0.0962844	-0.0291013	0.213215	0.0635315	-0.0623464	0	0	0	0	0	
-0.0446747	-0.0726318	-0.0668514	-0.109998	1	0.0480368	0.752566	-0.648599	-0.84612	-0.881894	-0.483345	-0.683423	-0.59241	-0.129437	-0.00074372	-0.0027389	0.0204366	0.0257047	
0.152716	-0.197161	0.228803	-0.299191	0.0480368	1	0.0438998	-0.0718239	-0.0894563	-0.0947859	0.0360474	-0.0430745	-0.00319637	0.103732	-0.024399	-0.027468	-0.00894256	0.0287179	
0.0245879	0.108926	0.0367905	0.165029	0.752566	0.0438998	1	-0.962048	-0.694857	-0.831299	-0.409377	-0.606586	-0.660193	-0.230478	-0.0342841	-0.0384874	0.0175002	0.0046426	
-0.0625787	-0.148874	-0.0936533	-0.22569	-0.648599	-0.0718239	-0.962048	1	0.601333	0.762889	0.392215	0.564417	0.609938	0.22794	-0.00385803	-0.00407051	-0.0114702	0.0118931	
0.0513821	0.0635814	0.0768911	0.0962844	-0.84612	-0.0894563	-0.694857	0.601333	1	0.845673	0.510836	0.732109	0.657974	0.100036	-0.0100656	-0.00644782	-0.0279353	-0.00660006	
0.0320798	-0.0192212	0.0480017	-0.0291013	-0.881894	-0.0947859	-0.831299	0.762889	0.845673	1	0.471867	0.707465	0.678829	0.100725	-0.0259837	-0.0254931	-0.0225228	-0.029456	
0.042289	0.140665	0.0632808	0.213215	-0.483345	0.0360474	-0.409377	0.392215	0.510836	0.471867	1	0.721701	0.64328	0.492289	-0.0396893	-0.0352572	-0.0521821	0.000598959	
-0.0276462	0.0419587	-0.0413671	0.0635315	-0.683423	-0.0430745	-0.606586	0.564417	0.732109	0.707465	0.721701	1	0.897068	0.366322	-0.0766864	-0.0780615	-0.042234	0.0129837	
-0.0476596	-0.0411762	-0.0713192	-0.0623464	-0.59241	-0.00319637	-0.660193	0.609938	0.657974	0.678829	0.64328	0.897068	1	0.482613	-0.00905704	-0.00845932	-0.0329165	0.007941	
0	0	0	0	-0.129437	0.103732	-0.230478	0.22794	0.100036	0.100725	0.492289	0.366322	0.482613	1	0	0	0	0	
0	0	0	0	-0.00074372	-0.024399	-0.0342841	-0.00385803	-0.0100656	-0.0259837	-0.0396893	-0.0766864	-0.00905704	0	1	0.932848	0	0	
0	0	0	0	-0.0027389	-0.027468	-0.0384874	-0.00407051	-0.00644782	-0.0254931	-0.0352572	-0.0780615	-0.00845932	0	0.932848	1	0	0	
0	0	0	0	0.0204366	-0.00894256	0.0175002	-0.0114702	-0.0279353	-0.0225228	-0.0521821	-0.042234	-0.0329165	0	0	0	1	0.206544	
0	0	0	0	0.0257047	0.0287179	0.0046426	0.0118931	-0.00660006	-0.029456	0.000598959	0.0129837	0.007941	0	0	0	0.206544	1	

